x,y,cat,,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
664159,550946,0,,664159,550946,801539,318482,378274,816341,777811,751059,746769,205186,340693,569371,182618,346663,657985,453405,196462,887983,294275,174786,238748,551038,425563,163524,499262,398424,870801,476330,735295,814058
665845,557965,0,,665845,557965,801667,318542,406233,813072,823974,725025,756701,207223,315965,587160,171461,348130,607463,477085,335970,846828,329428,66056,225786,529417,433100,134861,488205,420586,878184,487392,751215,828365
597173,575538,0,,597173,575538,814045,332998,401478,785370,749723,781756,860951,162251,405652,622938,186536,330019,563460,480559,272394,837600,325938,164475,221233,538472,446538,180119,406184,394506,846693,429031,730887,825972
618600,551446,0,,618600,551446,800479,321640,448651,847994,875160,698897,860387,157731,359831,554975,177241,292639,669118,354195,211165,825505,253129,154296,124724,459999,509279,180548,417996,408162,854654,549222,645233,927201
635690,608046,0,,635690,608046,757470,224976,434440,822866,828194,742074,857363,154639,349296,557688,248683,383412,613682,399434,226433,837646,319838,170383,165104,543395,495165,163113,428667,451233,889260,541423,645563,819480
588100,557588,0,,588100,557588,844536,424646,369199,734895,800913,749332,863391,126214,289423,559134,174057,358906,617399,392653,219686,859997,240213,118409,139903,592241,474652,193224,425386,379634,870826,524625,573324,878802
582015,546191,0,,582015,546191,797105,316002,413241,771595,831165,783383,839094,159543,408689,562521,215243,289985,629247,364078,242087,844255,283784,178305,132705,557674,507786,199578,388202,405780,868025,569296,693699,822637
604678,574577,0,,604678,574577,779956,271501,369418,733394,793019,764859,849248,164090,321312,574721,170688,343596,641070,424917,213558,873714,376613,159699,114311,601605,566666,195255,370955,325071,861364,598127,649412,856993
572029,518313,0,,572029,518313,797205,313318,378563,789670,810467,706465,875990,133950,286568,547471,144502,345417,609532,388425,245144,845719,338717,181582,102460,533057,506012,178372,353749,391896,825141,535997,684558,878573
604737,574591,0,,604737,574591,801323,316240,424190,780052,803540,754792,905936,150106,370259,585265,165689,356983,629369,398359,247997,878582,304283,183656,185935,554627,541435,206637,398629,401626,906640,587296,656658,854609
577728,587566,0,,577728,587566,783666,262902,415993,776671,844662,654835,895835,123485,339967,562602,168443,367928,605911,379990,283576,809069,314519,146787,123441,594415,507311,177795,393402,401018,906396,535803,651506,856097
602013,574722,0,,602013,574722,806131,312752,421352,799127,803962,731228,818079,108536,410917,614521,165158,343946,622550,391601,224676,859348,270899,175377,97216,564094,461701,188438,465599,383470,887896,558572,618405,842859
627968,574625,0,,627968,574625,830658,368694,432656,783776,823065,733789,898976,198452,283570,563726,159711,352701,607905,403460,298214,820903,291228,101272,110948,539533,506069,169723,400257,404936,817776,525600,667280,765619
607269,536961,0,,607269,536961,802482,335269,383032,788008,822156,732296,869087,153957,347197,591316,175781,341039,679465,399014,245468,859425,291170,110147,101553,517715,477155,161019,444610,400247,844066,546029,600996,890782
603145,574795,0,,603145,574795,801910,325434,414377,771258,811389,723618,849653,143827,342064,570045,233480,289069,608711,373665,222704,824909,321522,163852,133023,574572,505044,180646,392046,391220,848976,558706,674463,862486
671919,571761,0,,671919,571761,808062,337340,425260,773661,779936,774397,834293,161575,317331,556086,189029,366740,623498,399288,250921,819639,202627,179376,144570,573936,467697,168082,410506,395586,897131,604582,676694,851597
612184,570393,0,,612184,570393,789833,304422,469139,810971,854769,713941,844234,153197,335792,541310,168573,350387,601212,370698,249209,801933,307913,91419,136531,557658,511868,170991,424782,449687,845120,549830,620685,880813
600032,575310,0,,600032,575310,803603,327255,442979,803024,803457,735855,835128,212354,330455,568758,170271,306395,574989,407228,230591,874855,311093,169734,173576,507309,500225,177559,384467,407359,872241,556733,716590,874975
627912,593892,0,,627912,593892,800865,312968,347079,803582,790712,745884,828179,155649,366794,582584,192775,350028,563517,391159,234091,876039,321775,164846,179189,536028,460616,174810,397399,403186,857818,534525,721401,951880
601967,604428,0,,601967,604428,802237,318526,412797,803180,815652,733433,875410,128878,378697,591764,152054,345632,687717,379483,286769,862152,294832,124284,141238,557986,573755,218049,449683,388863,794265,594573,657094,857640
591851,569051,0,,591851,569051,803959,315173,352874,807952,841289,701474,850965,156224,339981,565418,139299,314046,616040,330855,224789,866804,295537,91032,156430,615117,543616,144788,387756,435588,857126,548151,644693,867371
601444,572693,0,,601444,572693,800123,312312,442286,755194,832054,751330,800816,176612,338342,566864,202053,322650,653024,367312,245023,849247,383044,180418,69169,631490,509804,175714,451753,383440,842786,614034,633601,861482
629718,558104,0,,629718,558104,780927,285057,416433,786159,786032,701427,832621,150748,338474,563350,134695,350397,607440,403119,263626,851699,338570,192256,31842,565765,542311,161882,414448,429790,889975,589361,673646,857346
661430,603567,0,,661430,603567,797242,324588,419700,793447,824835,704997,876863,176593,432052,613723,159654,381778,620240,397022,250198,825417,337894,175289,144620,575370,475944,189337,394599,409068,841130,529745,657184,855509
597551,556737,0,,597551,556737,801551,320544,422961,821595,832886,781206,826192,172906,340064,550509,188093,324040,599215,391457,231263,863308,359796,165920,155899,561715,517750,199025,387330,409037,813561,583156,708244,871834
601182,582584,0,,601182,582584,809182,319115,400008,789447,818063,797960,862679,188399,334354,578047,183236,338163,587478,424878,307605,840195,316263,163806,137451,555339,520952,169184,402109,430185,855603,542414,659081,860560
562704,570596,0,,562704,570596,801931,317202,429586,775621,857620,709386,839974,154358,296775,572432,156984,430950,613921,394043,276635,875623,320972,170417,68388,574380,559076,190770,393825,453067,887556,531797,657811,885904
605107,563429,0,,605107,563429,820327,352701,457561,788245,828589,652430,854338,135067,353335,592567,182751,435819,624328,392133,230399,842538,277860,111893,166290,521714,549384,208450,412111,418466,837032,509264,642843,909185
607214,575069,0,,607214,575069,801093,317509,415417,785827,836727,737798,855233,141357,334016,562797,198908,372797,635887,384511,274070,798617,367806,123963,210499,526471,549147,171454,397213,377839,793791,581315,709303,897538
568824,570203,0,,568824,570203,798523,324500,389552,750700,776000,780347,850538,160159,328438,532686,198517,325721,559877,401053,247939,831010,359352,162962,148319,584541,520880,200955,361159,436327,904450,533427,610505,851476
612485,518009,0,,612485,518009,805237,318655,415598,786499,824098,714042,868442,160118,365927,571713,161345,350804,617755,401065,209922,850026,350964,149159,135336,552552,484348,202813,383075,447616,879722,550246,612648,772280
589244,573777,0,,589244,573777,803375,311620,443447,783977,830583,710990,888714,205560,343247,564376,210497,359835,693265,388552,300726,862728,332201,181702,136606,562296,487472,166999,383832,340506,839088,528460,673196,812941
625579,551084,0,,625579,551084,801441,323812,404792,749210,862189,735684,864185,161232,325057,581121,141993,331189,559933,403956,222727,770963,287966,150135,136301,569544,504728,174541,402227,414685,869369,536868,673267,883727
560237,500154,0,,560237,500154,797313,317527,389392,730768,815131,704478,851280,156049,330881,579058,170788,373545,655859,416496,239505,885057,346942,152780,119386,620549,465734,114090,411957,397796,871873,509094,694451,863981
626224,569687,0,,626224,569687,788220,301915,473485,847098,828478,655405,875825,204959,378648,579579,166449,363036,625919,402984,291561,845450,232784,169847,139212,557713,570266,188032,377408,395123,900991,497149,678869,902492
610666,551701,0,,610666,551701,790395,300024,491614,778997,784838,771499,840375,155757,339115,566863,155479,345893,595215,391491,221122,832810,292492,99170,84501,604671,505584,176135,417231,381303,919544,541255,690018,819280
597428,569940,0,,597428,569940,817135,349925,437483,785130,880362,706363,892340,149050,333299,597586,186380,363938,617493,379303,194258,914691,334529,166765,176602,574552,514739,189624,442915,420573,860520,544023,677983,890077
600582,599535,0,,600582,599535,797787,301470,452570,848127,767482,727417,873527,126426,367048,553451,129332,360811,598657,442558,228928,855040,363208,238649,105945,528795,500589,181466,415394,396940,863042,557890,639997,865965
604168,555003,0,,604168,555003,804630,332333,417197,778243,825070,734215,836433,200181,345840,561591,224225,376975,601644,436831,264627,808661,196795,190277,140989,537156,504096,192493,420792,430901,889805,522039,709254,847444
613871,550423,0,,613871,550423,808710,330379,405986,787439,813781,738344,826499,142732,366934,581294,165945,345849,617118,374098,225916,843329,353333,113156,138449,555969,553118,165472,397791,444527,879031,489881,679799,858680
617310,551945,0,,617310,551945,802111,320817,437568,794323,840863,737972,854922,159650,358793,547046,223550,323197,591051,389443,240221,843932,373191,88470,128669,574591,502511,205121,385804,393101,852918,552112,664355,831472
625728,579460,0,,625728,579460,796375,309563,420319,794333,840943,739611,883537,210648,393570,579641,122755,434879,617296,386864,276600,823311,333789,151168,95749,602775,551798,221411,384572,388523,903840,586229,659166,861665
606300,566708,0,,606300,566708,819768,346596,418963,746595,828276,762021,807420,168787,304399,545221,166584,349245,616468,394118,204854,810013,339732,163158,139460,557260,502737,174437,402069,434868,932662,537069,692386,863386
638559,558807,0,,638559,558807,814605,354382,469422,822619,822883,728314,840299,118907,353979,578923,179472,342273,630384,376295,278326,829095,321822,187102,130440,562623,513181,177419,414997,432597,908506,549611,688076,833905
582176,630383,0,,582176,630383,800565,319364,397688,762902,854886,769396,834602,213597,337002,589527,148749,359845,558770,390646,246047,846189,276792,141848,147885,527813,513010,141058,392919,405103,867533,542290,680506,840053
544056,577786,0,,544056,577786,802089,313456,418149,790096,829623,732301,864053,139325,327738,559624,177505,332053,637332,414017,251032,876118,308044,164482,58190,608304,535564,177248,396150,430329,844617,499013,641840,886745
631297,578351,0,,631297,578351,814401,341234,407289,798870,835428,731189,856454,117143,334549,579199,160222,380591,556780,409205,285258,848668,311328,159477,151701,574146,514551,176526,439145,407748,862002,534006,673292,857105
561574,621747,0,,561574,621747,796609,319691,360319,778673,818338,800932,857972,160214,297110,556485,178869,370161,577473,384210,260943,889692,383052,89061,148385,538149,450030,169537,401240,354085,883981,607581,622212,860015
604973,574773,0,,604973,574773,776131,248465,473799,795167,823417,701523,850046,108829,327403,548875,170002,370000,650054,432740,245928,867228,316820,150304,142668,544976,521152,152439,424228,442208,864265,549505,736557,897961
605284,556134,0,,605284,556134,803464,329093,445199,763833,812152,689907,804936,148980,413894,564459,164354,347671,595063,328609,221002,870506,314479,178821,145251,553486,505512,203857,336023,416862,883062,547498,668234,886696
617910,592293,0,,617910,592293,802646,317894,446537,828924,829969,699565,864374,150149,326043,553772,169966,368623,714443,433876,292872,896822,310824,144943,142265,546135,509928,184873,351352,362910,860870,546516,675013,876331
555904,640401,0,,555904,640401,809550,327365,410019,732704,861563,661642,858587,150101,337811,558454,145867,363616,603566,410391,261896,897475,333143,200298,202913,525966,490271,216725,413549,408517,895565,501871,675902,853961
526559,509417,0,,526559,509417,795322,311178,396540,815936,816955,747629,870247,121460,333901,532836,181561,358111,562356,383175,269723,849664,300672,175844,192564,547558,529931,180136,341775,425156,843344,604964,695092,820091
603849,572396,0,,603849,572396,830450,393096,407694,718592,774526,757135,855656,162100,340545,568654,164915,350360,546166,423311,243941,843256,339482,151261,179240,577011,508228,220433,424811,413300,864059,545894,730287,897070
598634,619900,0,,598634,619900,778414,260729,417091,792545,803577,712231,850176,127908,358483,554925,166973,341636,626539,394908,249370,872804,319208,164182,182840,584262,534461,178056,402677,412615,830888,544022,691716,873426
603359,589262,0,,603359,589262,800041,318331,442260,754050,798056,714380,850057,157848,318065,581616,153181,277968,663820,416308,237120,856814,321645,164662,144242,557674,508551,174306,419118,421655,858819,544904,722404,952207
657455,567754,0,,657455,567754,802814,320130,411526,784658,881789,727577,828005,145089,367751,578289,155505,355581,710910,464586,257472,849587,308763,166511,135849,550612,545365,210090,354601,358760,853562,531620,678606,878004
614279,599251,0,,614279,599251,802738,312234,407814,765816,858867,700187,861994,160156,331667,570387,160835,347784,624310,398408,253703,834676,308066,145825,101427,615890,510414,142485,410682,349328,873791,606643,664156,846474
578496,631434,0,,578496,631434,823913,369439,394022,803914,834996,728517,849537,157510,321519,561045,211265,396792,632546,389750,238080,830689,360143,155270,143265,548387,507895,177445,399020,404042,859213,538040,688118,911574
645171,595209,0,,645171,595209,803386,318982,481133,781413,839121,736259,867125,168762,299578,572052,203254,362605,667249,417107,225991,869734,348893,195430,112379,547679,506288,177990,392258,405478,841843,503359,674492,861230
688015,533535,0,,688015,533535,812869,346251,396118,794614,841045,738224,838142,156770,339632,536577,137967,354539,608309,377530,231781,799444,319283,158983,137347,622867,512560,224816,353941,399967,842719,506205,675382,836312
656477,573007,0,,656477,573007,798904,324420,458538,786673,840100,728839,847644,164348,339993,544064,174064,357989,611357,393577,296892,901182,332284,194186,139146,569516,454160,102568,411471,446824,847904,574114,664639,925795
540029,563888,0,,540029,563888,800447,331643,419721,789724,874544,686096,856349,158150,268672,508874,179609,408365,658219,436184,234604,822462,292402,184441,125756,579609,437116,148591,397158,370362,863859,546898,626334,852383
597418,538362,0,,597418,538362,807446,342555,424476,781552,862334,747768,860606,152843,332960,569308,176506,351827,615032,402225,241473,860854,361227,221878,77109,512651,519003,160741,431117,394746,888919,535805,669690,842110
613545,574733,0,,613545,574733,804251,329956,377720,727349,820253,714625,869288,168662,345042,566973,172879,347028,628131,406850,219864,842635,313573,109221,138073,556272,509173,178051,395246,392783,855045,547633,653177,819935
628696,542447,0,,628696,542447,797594,302109,448336,789445,817862,732248,838328,185708,352220,602793,180506,330980,632390,363198,235901,856563,310693,154278,202547,601240,507674,147431,400468,405703,863102,545783,674265,861435
604157,574191,0,,604157,574191,803448,314797,412227,787450,844729,682981,860986,140320,333934,537464,185966,359964,575116,345564,207217,878249,344482,215846,19835,570290,513562,229098,354094,424230,829747,530312,677404,883871
603126,497987,0,,603126,497987,765502,240340,408745,824896,846484,719360,829229,143653,312386,555195,146070,316860,625784,441883,256949,820470,358652,186358,118137,579149,473361,185066,352429,359750,850607,565348,672212,860894
605850,533310,0,,605850,533310,795527,315510,417016,774869,793669,724513,866051,172932,334182,558498,152957,321354,618893,419740,204597,863162,330533,214555,201324,574588,517580,170329,358830,431609,810277,520837,715956,900724
596179,529556,0,,596179,529556,794640,313497,395274,786698,821906,732848,871556,194747,335328,562880,163190,331719,579564,428498,325275,866433,320400,160020,113259,568684,509285,174620,387039,365758,879104,595389,674236,877152
610330,552628,0,,610330,552628,808717,335740,412541,806622,826465,646980,865489,161762,303637,570253,186914,361706,686324,364237,239344,814789,267662,127175,139052,610320,510496,174308,395013,387179,840406,538772,679818,860064
598184,531473,0,,598184,531473,790932,305223,412109,735920,820350,748217,851840,110475,353145,580916,159191,309314,586242,396484,187894,871219,396583,82842,177246,571940,438860,114065,400545,404212,838367,536676,578509,923881
620438,511694,0,,620438,511694,816852,352965,407023,787385,814540,707227,846256,154064,325118,556212,170425,316185,623248,399928,259973,862559,292193,125417,107972,601191,534702,244239,435067,403802,837457,518745,680381,823757
600202,622079,0,,600202,622079,826228,376658,376660,815936,838223,766380,836081,178429,294310,563522,162040,316797,609219,362804,189752,865463,324121,96346,138199,541774,504755,150226,394436,450912,861519,531277,720629,816515
603021,577991,0,,603021,577991,795299,312036,396548,784388,869471,745767,859707,202806,371563,547746,195000,354829,537211,376777,245707,844466,321344,166633,220156,589643,474135,199330,376444,371957,816056,542574,640210,902029
515612,540643,0,,515612,540643,808686,332209,508535,830710,816054,733183,849938,156042,373894,555347,126702,351222,605310,394011,188480,870646,234837,151054,137787,566189,508907,173787,433463,410297,862534,547936,671772,860357
606548,574376,0,,606548,574376,809594,344872,414014,816460,801177,737548,894124,202052,407040,577739,213064,290947,634973,450542,305915,854818,368060,76739,138122,557230,509651,149290,426625,475977,808555,600511,618009,867493
593490,623110,0,,593490,623110,799275,324108,440782,782395,848783,748980,864325,170593,337298,565486,140612,350010,595411,413706,242443,851797,347050,150472,93136,613387,490956,124550,424241,452915,862571,550965,672628,882986
607084,595500,0,,607084,595500,798472,322218,436951,814456,814105,723255,848108,161786,357813,572855,172885,352621,613037,419086,227138,824372,245783,109229,154620,576738,499637,194036,396520,405610,832010,554080,680261,863401
583728,563146,0,,583728,563146,824822,367091,393758,750953,838036,749612,817619,181929,304157,566007,170155,343568,617444,397675,229970,878786,400550,144359,131523,568207,515856,148316,347638,429109,882403,534710,682100,853708
616044,533807,0,,616044,533807,795489,287279,418410,795929,840270,725456,858058,196183,335918,566525,186806,334070,633304,366062,281971,825246,343217,153037,136967,565662,482568,159010,374797,407601,840020,568424,681049,846975
624452,584622,0,,624452,584622,800483,320713,425991,787029,789601,714058,861242,161722,330127,570072,146072,288800,592620,446156,241166,845204,315488,160339,142886,556511,522728,184704,451670,388347,865030,541150,668567,856554
604438,574666,0,,604438,574666,783491,288029,414562,787355,827169,708345,885793,172115,339212,538693,169293,348686,631633,337973,225846,874086,347406,155708,125005,540340,493070,189771,373684,418326,846594,522941,656957,871011
625709,660145,0,,625709,660145,797162,306135,408712,803987,789448,738035,850577,157049,357275,551101,169502,411323,619637,395224,284077,905181,336845,172750,138965,558201,483807,198925,412615,403902,890223,556874,662293,872590
601376,579831,0,,601376,579831,800272,316170,377858,811790,835030,668528,877125,161227,334785,565575,152861,407965,620330,398630,258975,837353,357014,148222,139474,569485,469656,153741,392428,402295,873136,513309,673953,835926
565148,557305,0,,565148,557305,806827,324616,417169,792321,848151,741869,883864,111281,326152,563230,156041,295117,621964,409409,241972,840749,331862,169092,171471,576787,470041,102049,389868,410718,846622,553552,718544,888401
639418,537903,0,,639418,537903,802853,314938,460371,780609,816091,747764,891699,170415,345903,561314,117585,391892,618446,372298,245602,857160,322140,165212,157138,565993,576965,187481,383022,409854,905770,531812,648590,917839
612799,537497,0,,612799,537497,800804,316615,388873,746909,801511,761094,802394,87835,331175,551842,163981,344090,629789,426313,227363,836593,363075,162238,198294,552987,515230,149567,468350,395883,803216,577565,699124,824089
583653,652182,0,,583653,652182,813173,354777,395641,808571,822670,689090,862759,157988,352520,566829,158664,310765,608687,374928,257926,936947,318738,182134,136078,547418,469470,189347,373339,398565,914183,620056,668367,855686
