x,y,cat
0.461,0.10400000000000001,0
0.845,0.105,0
0.901,0.14400000000000002,1
0.86,0.094,0
0.596,0.067,0
0.643,0.064,0
0.5700000000000001,0.052000000000000005,0
0.5690000000000001,0.052000000000000005,0
0.613,0.075,0
1.374,0.199,1
1.417,0.149,1
0.837,0.065,0
0.87,0.08,1
1.307,0.152,1
0.20600000000000002,-0.011,0
0.619,0.048,0
0.227,0.034,0
1.18,0.148,1
0.7010000000000001,0.092,0
1.373,0.139,1
0.542,0.042,0
0.612,0.044,0
0.388,0.10300000000000001,0
1.087,0.145,1
0.796,0.075,0
0.489,0.049,0
0.991,0.106,1
0.835,0.062,0
0.525,0.044,0
1.436,0.042,1
1.327,0.152,1
0.795,0.095,0
1.306,0.16,1
0.9,0.136,1
0.5720000000000001,0.031,0
1.534,0.021,1
0.837,0.063,0
1.59,0.058,1
0.512,0.162,0
0.48,0.157,0
0.444,0.166,0
0.66,-0.002,0
1.153,0.17400000000000002,1
1.254,0.166,1
1.226,0.155,1
0.894,0.14200000000000002,1
1.379,0.162,1
0.685,0.064,0
0.461,0.006,0
0.796,0.066,0
0.666,0.06,0
1.249,0.157,1
1.395,0.149,1
1.099,0.146,1
0.807,0.156,0
0.65,0.059000000000000004,0
0.452,0.005,0
1.088,0.152,1
0.646,0.068,0
0.356,0.122,0
1.537,-0.012,1
0.423,0.058,0
1.605,0.198,1
0.518,0.042,0
0.551,-0.005,0
1.04,0.148,1
0.518,0.1,0
0.894,0.068,1
0.8300000000000001,0.09,0
1.124,0.15,1
0.639,0.066,0
0.841,0.157,0
0.984,0.084,1
1.188,0.148,1
1.427,0.159,1
0.54,0,0
1.454,0.167,1
0.792,0.095,0
0.682,0.06,0
0.28,0.062,0
1.056,0.147,1
0.23900000000000002,0.109,0
0.394,0.017,0
1.166,0.122,1
0.506,0.165,0
0.517,0.003,0
0.604,0.043000000000000003,0
0.543,0.156,0
1.223,0.148,1
0.963,0.114,1
0.84,0.062,0
1.103,0.114,1
0.621,0.084,0
1.0170000000000001,0.109,1
0.772,0.08,0
0.519,0.012,0
1.499,0.151,1
0.56,0.115,0
1.04,0.154,1
0.47300000000000003,-0.01,0
1.2750000000000001,0.164,1
0.47700000000000004,0.002,0
0.852,0.083,0
0.437,-0.007,0
0.538,0.108,0
0.63,0.1,0
0.961,0.135,1
1.1,0.136,1
0.509,0.004,0
1.351,0.165,1
0.641,0.061,0
1.488,0.067,1
0.737,0.054,0
0.557,0.047,0
0.52,0.056,0
0.5650000000000001,0.057,0
1.254,0.155,1
0.862,0.083,0
1.561,0.02,1
1.171,0.154,1
0.794,0.07,0
0.843,0.066,0
0.641,0.052000000000000005,0
1.532,0.189,1
0.513,0.16,0
0.837,0.078,0
0.678,0.064,0
0.64,0.055,0
0.557,0.07200000000000001,0
0.623,0.07200000000000001,0
0.437,0.08700000000000001,0
1.324,0.054,1
1.105,0.153,1
0.327,0.128,0
0.73,0.063,0
0.587,0.085,0
1.057,0.116,1
0.536,0.116,0
0.223,0.117,0
0.669,0.051000000000000004,0
0.736,0.094,0
0.614,0.07,0
1.4020000000000001,0.155,1
0.533,0.089,0
0.6970000000000001,0.065,0
0.589,0.055,0
1.089,0.132,1
1.453,0.062,1
0.459,0.097,0
1.025,0.036000000000000004,1
0.76,0.052000000000000005,0
1.052,0.15,1
0.494,0.018000000000000002,0
0.719,0.075,0
0.873,0.113,1
0.539,0.05,0
1.453,0.158,1
1.086,0.10300000000000001,1
0.925,0.067,1
1.093,0.134,1
0.20400000000000001,0.10200000000000001,0
1.284,0.1,1
0.436,0,0
0.47600000000000003,0.101,0
1.329,0.1,1
0.59,0.116,0
1.078,0.14400000000000002,1
0.779,0.067,0
0.542,0.004,0
0.524,0.033,0
0.801,0.1,0
0.654,0.065,0
1.67,0.161,1
0.848,0.117,0
0.58,0.064,0
0.55,0.098,0
1.231,0.11900000000000001,1
0.538,0.165,0
0.864,0.064,0
1.578,0.163,1
0.406,0.112,0
0.654,0.05,0
1.256,0.125,1
